m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,reference.1,reference.2
104,Myanmar,,142,"Groundnuts, excluding shelled",2009,5.22,5.22%,68100.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
104,Myanmar,,142,"Groundnuts, excluding shelled",2008,5.43,5.43%,65240.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
104,Myanmar,,142,"Groundnuts, excluding shelled",2007,5.61,5.61%,61080.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
104,Myanmar,,142,"Groundnuts, excluding shelled",2006,5.4,5.40%,55270.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
104,Myanmar,,142,"Groundnuts, excluding shelled",2005,5.0,5%,51970.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
104,Myanmar,,142,"Groundnuts, excluding shelled",2004,5.0,5%,47310.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
104,Myanmar,,142,"Groundnuts, excluding shelled",2003,5.0,5%,43880.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
112,Belarus,,2211,Raw milk of cattle,2007,0.01,0.01%,400.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
112,Belarus,,2211,Raw milk of cattle,2006,0.02,0.02%,1000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
112,Belarus,,2211,Raw milk of cattle,2005,0.02,0.02%,1000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
